GROUP,snapdate,인당 프로젝트수,인당 상시잔여이슈,이슈 처리일,Commit당 이슈발생,인당 이슈Inflow(발생),인당 이슈Outflow(해결),인당 코드 변경량,인당 개발산출물Outflow(해결),인당 Commit코드 변경량,인당 개발산출물 Burndown,개발산출물 처리율 (Outflow/Inflow),인당 개발산출물 상시잔여수,인당 개발산출물Inflow(발생),인당 이슈 Burndown,이슈 처리율(Outflow/Inflow),이슈 최초대응일,개발산출물 최초대응일,개발산출물 처리일,인당 개발산출물+Review Outflow,인당 Review수,인당 Reject수,Reject/Review율[리뷰관점],Commit당 Rejected수(AI+Reviewer)[리뷰관점],인당 Rejected수(AI+Reviewer)[리뷰관점],인당 Rejected(AI+RV)/Commit율[리뷰관점],활성개발자수,이슈 활성개발자수,Code 활성개발자수,산출물 활성개발자수,이슈Inflow(발생),이슈Outflow(해결),Code Review수,Code Reject수,완료이슈 Reopen율,진성완료이슈 Reopen율,ShiftLeft Reopen율[내부],진성ShiftLeft Reopen율[내부],누적전체이슈 Reopen율[내부],누적진성전체이슈 Reopen율[내부],누적전체이슈 대비 잔여이슈Reopen율[내부],누적진성전체이슈 대비 잔여이슈Reopen율[내부],이슈 쏠림[내부],인라인 리뷰 코드수정비율[내부],인라인 개발자리뷰 코드수정비율[내부],인라인 AI리뷰 코드수정비율[내부],인라인 정적분석 코드수정비율[내부],커밋당 인라인 리뷰 코드수정횟수[내부],커밋당 인라인 AI리뷰 코드수정횟수[내부],커밋당 인라인 개발자리뷰 코드수정횟수[내부],인라인 개발자+AI리뷰 코드수정비율[내부],커밋당 인라인 개발자+AI리뷰 코드수정횟수[내부],인라인 개발자+AI리뷰 코드수정or응답 비율[내부],커밋당 인라인 개발자+AI리뷰 코드수정or응답 횟수[내부],인라인 개발자리뷰 코드수정or응답 비율[내부],커밋당 인라인 개발자리뷰 코드수정or응답 횟수[내부],인라인 AI리뷰 코드수정or응답 비율[내부],커밋당 인라인 AI리뷰 코드수정or응답 횟수[내부],평균 잔여이슈Age[내부],Commit 활성개발자수[내부],Review 활성개발자수[내부],코드 변경량(TOTAL LOC),이슈결함밀도(이슈Inflow/변경kLOC),Commit당 코드 변경량(LOC) [내부],코드 삽입율(Insert LOC/Total LOC) [내부],코드 삭제율(Delete LOC/Total LOC) [내부],코드 수정 밀도 (Total LOC / 개발산출물 Outflow) [내부],개발산출물 밀도 (개발산출물 Outflow/Total LOC*1000) [내부],개발산출물 Inflow [내부],개발산출물 Outflow [내부],이슈결함밀도2(이슈Inflow/변경kLOC)[내부],누적완료이슈 Reopen율[내부],누적진성완료이슈 Reopen율[내부],진성이슈Inflow(발생)[내부],진성이슈결함밀도(이슈Inflow/변경kLOC)[내부],잔여이슈 Reopen율[내부]
"UNIT_TOTAL","2025-12-22","1","3.369","3.346","1.04","3.055","3.102","214.765","3.032","82.504","4.273","36.731","33.209","15.758","0.21","91.566","0.313","0.755","55.361","3.948","3.607","0.061","1.691","0.795","1.162","79.438","679","366","592","627","498","456","1183","20","16.667","15.603","17.3","14.648","17.292","15.364","0.316","0.456","90","13.79","31.624","13.977","4.869","0.576","0.469","0.079","15.198","0.548","35.423","1.277","66.667","0.166","33.1","1.111","15.502","364","505","34792","14.888","87.42","73.9","26.1","182.16","5.49","520","191","10.954","17.843","16.032","290","8.594","null"
"UNIT_TOTAL","2025-12-23","1","3.375","3.694","1.13","3.28","3.107","187.714","2.507","79.77","2.481","46.797","33.908","11.967","0.221","91.822","0.304","0.35","66.268","4.191","3.94","0.038","0.955","0.739","1.103","73.552","678","366","595","629","538","494","1257","12","14.98","12.937","17.163","15.223","17.221","15.304","0.306","0.443","89","14.434","30.159","15.3","1.931","0.553","0.463","0.079","16.487","0.543","35.384","1.165","61.111","0.161","33.15","1.004","15.725","363","511","31536","16.663","80.65","75.22","24.78","187.71","5.33","359","168","16.222","17.756","15.955","308","9.751","null"
"UNIT_TOTAL","2025-12-24","1","3.441","4.24","0.959","3.226","3.323","207.882","5.132","87.037","-0.076","101.749","34.247","9.27","-0.061","102.339","0.277","4.172","31.834","5.019","4.301","0.041","0.96","0.636","1.003","66.957","657","342","594","629","513","525","1458","14","15.238","12.862","19.419","18.103","17.2","15.278","0.29","0.42","90","16.429","26.712","16.096","3.488","0.459","0.375","0.078","17.275","0.453","38.889","1.02","50","0.146","37.5","0.874","15.886","367","508","38874","12.245","87.55","74.4","25.6","111.39","8.98","343","349","14.572","17.738","15.935","307","7.319","2.51"
"UNIT_TOTAL","2025-12-25","1","3.444","4.294","1.038","2.946","3.04","177.178","5.045","87.539","-1.053","131.008","34.504","7.371","-0.089","103.872","0.263","1.231","30.47","4.359","3.632","0.031","0.858","0.596","0.785","65.16","659","348","591","626","439","456","1166","10","12.719","8.856","18.565","17.434","17.182","15.267","0.29","0.419","90","15.96","20.192","16.471","2.857","0.445","0.387","0.053","16.843","0.44","40.038","1.045","44.231","0.116","39.572","0.93","16.035","365","504","29943","14.21","85.8","73.81","26.19","88.59","11.29","258","338","12.758","17.697","15.893","262","8.449","0"
"UNIT_TOTAL","2025-12-26","1","3.408","5.002","1.033","2.881","2.947","184.95","5.167","91.657","4.25","50.325","34.607","19.25","-0.185","108.738","0.226","1.308","41.165","4.243","3.566","0.041","1.139","0.612","0.762","68.892","660","349","590","625","412","448","1141","13","13.393","11.314","18.93","16.772","17.168","15.248","0.245","0.354","90","10.324","16.216","10","4.545","0.258","0.206","0.044","10.726","0.251","36.698","0.857","40.541","0.111","36.19","0.747","16.343","364","503","29777","13.568","89.15","74.89","25.11","96.05","10.41","616","310","13.798","17.735","15.95","244","8.11","0"
"UNIT_TOTAL","2025-12-27","1","3.378","5.004","0.823","2.829","2.961","205.293","5.167","92.339","4.197","50.987","34.806","20.267","-0.276","113.636","0.219","0.6","41.165","4.794","4.133","0.039","0.95","0.543","0.789","64.705","660","349","590","625","396","450","1368","13","13.333","11.191","18.347","16","17.169","15.251","0.245","0.354","90","10.294","16.071","9.976","4.545","0.255","0.204","0.044","10.692","0.248","36.583","0.847","40.179","0.109","36.105","0.738","16.343","363","503","35721","11.086","88.2","75.15","24.85","115.23","8.68","608","310","12.092","17.73","15.945","239","6.691","0"
"UNIT_TOTAL","2025-12-28","1","3.312","5.033","0.822","2.829","2.993","205.293","5.167","92.339","4.197","50.987","35.233","20.267","-0.316","115.657","0.219","0.6","41.165","4.794","4.133","0.039","0.95","0.541","0.789","64.368","659","347","590","624","396","458","1368","13","13.1","10.877","18.489","16.265","17.169","15.251","0.245","0.354","90","10.294","16.071","9.976","4.545","0.254","0.203","0.044","10.692","0.247","36.583","0.845","40.179","0.109","36.105","0.736","16.335","363","503","35721","10.848","88.2","75.15","24.85","115.23","8.68","608","310","11.086","17.719","15.931","239","6.509","0"
"UNIT_TOTAL","2025-12-29","1","3.229","4.753","0.798","2.938","2.889","209.903","5.647","92.511","8.812","32.143","36.269","18.667","-0.344","116.623","0.33","0.167","36.222","4.763","4.076","0.04","0.969","0.48","0.693","59.683","659","346","588","622","379","442","1341","13","16.742","14.676","18.109","15.143","17.324","15.399","0.265","0.384","90","9.785","14.414","9.563","4.688","0.216","0.175","0.035","10.125","0.21","38.205","0.79","41.441","0.099","37.78","0.691","16.657","361","502","36733","9.76","90.48","75.23","24.77","127.55","7.84","896","288","10.462","17.827","16.014","226","5.867","0"
"UNIT_TOTAL","2025-12-30","1","3.277","4.889","0.782","2.726","2.807","207.522","4.879","97.474","7.014","36.236","37.903","18.595","-0.394","120.414","0.351","2","42.753","4.299","3.649","0.019","0.52","0.456","0.623","59.399","655","344","586","620","338","407","1153","6","18.919","18.44","19.306","15.455","17.391","15.51","0.292","0.423","90","1.72","4.688","1.617","9.091","0.146","0.134","0.007","1.673","0.141","8.713","0.737","23.438","0.037","8.436","0.7","17.162","361","499","33411","8.71","92.81","75.27","24.73","118.06","8.47","781","283","9.637","17.864","16.085","205","5.193","0"
"UNIT_TOTAL","2025-12-31","1","3.257","5.054","0.54","2.346","2.445","193.065","1.958","90.235","10.079","12.894","39.581","16.953","-0.431","128.279","0.267","1.222","86.755","3.89","3.715","0.032","0.852","0.442","0.633","68.51","658","343","588","624","244","313","1174","10","20.767","20","17.143","13.477","17.391","15.51","0.292","0.423","90","2.44","9.459","2.195","7.143","0.183","0.158","0.015","2.347","0.172","9.302","0.683","32.432","0.05","8.807","0.633","18.072","363","501","29925","9.073","77.73","76.76","23.24","318.35","3.14","729","94","7.705","17.863","16.083","142","5.113","0"
