GROUP,snapdate,인당 프로젝트수,인당 상시잔여이슈,이슈 처리일,Commit당 이슈발생,인당 이슈Inflow(발생),인당 이슈Outflow(해결),인당 코드 변경량,인당 개발산출물Outflow(해결),인당 Commit코드 변경량,인당 개발산출물 Burndown,개발산출물 처리율 (Outflow/Inflow),인당 개발산출물 상시잔여수,인당 개발산출물Inflow(발생),인당 이슈 Burndown,이슈 처리율(Outflow/Inflow),이슈 최초대응일,개발산출물 최초대응일,개발산출물 처리일,인당 개발산출물+Review Outflow,인당 Review수,인당 Reject수,Reject/Review율[리뷰관점],Commit당 Rejected수(AI+Reviewer)[리뷰관점],인당 Rejected수(AI+Reviewer)[리뷰관점],인당 Rejected(AI+RV)/Commit율[리뷰관점],활성개발자수,이슈 활성개발자수,Code 활성개발자수,산출물 활성개발자수,이슈Inflow(발생),이슈Outflow(해결),Code Review수,Code Reject수,완료이슈 Reopen율,진성완료이슈 Reopen율,잔여이슈 Reopen율[내부],ShiftLeft Reopen율[내부],진성ShiftLeft Reopen율[내부],누적전체이슈 Reopen율[내부],누적진성전체이슈 Reopen율[내부],누적전체이슈 대비 잔여이슈Reopen율[내부],누적진성전체이슈 대비 잔여이슈Reopen율[내부],이슈 쏠림[내부],인라인 리뷰 코드수정비율[내부],인라인 개발자리뷰 코드수정비율[내부],인라인 정적분석 코드수정비율[내부],커밋당 인라인 리뷰 코드수정횟수[내부],커밋당 인라인 AI리뷰 코드수정횟수[내부],커밋당 인라인 개발자리뷰 코드수정횟수[내부],인라인 개발자+AI리뷰 코드수정비율[내부],커밋당 인라인 개발자+AI리뷰 코드수정횟수[내부],인라인 개발자+AI리뷰 코드수정or응답 비율[내부],커밋당 인라인 개발자+AI리뷰 코드수정or응답 횟수[내부],인라인 개발자리뷰 코드수정or응답 비율[내부],커밋당 인라인 개발자리뷰 코드수정or응답 횟수[내부],커밋당 인라인 AI리뷰 코드수정or응답 횟수[내부],평균 잔여이슈Age[내부],Commit 활성개발자수[내부],Review 활성개발자수[내부],코드 변경량(TOTAL LOC),이슈결함밀도(이슈Inflow/변경kLOC),Commit당 코드 변경량(LOC) [내부],코드 삽입율(Insert LOC/Total LOC) [내부],코드 삭제율(Delete LOC/Total LOC) [내부],코드 수정 밀도 (Total LOC / 개발산출물 Outflow) [내부],개발산출물 밀도 (개발산출물 Outflow/Total LOC*1000) [내부],개발산출물 Inflow [내부],개발산출물 Outflow [내부],이슈결함밀도2(이슈Inflow/변경kLOC)[내부],누적완료이슈 Reopen율[내부],누적진성완료이슈 Reopen율[내부],진성이슈Inflow(발생)[내부],진성이슈결함밀도(이슈Inflow/변경kLOC)[내부],인라인 AI리뷰 코드수정비율[내부],인라인 AI리뷰 코드수정or응답 비율[내부]
"UNIT_TOTAL","2025-03-03","1","9.657","3.861","0.953","3.6","3.392","215.851","10.517","87.975","-2.472","141.204","58.232","18","0.378","87.243","0.926","0.744","38.689","4.232","3.407","0.06","1.757","0.055","0.084","8.13","699","371","567","628","486","424","1138","20","8.019","7.717","0","13.525","10.87","9.529","7.917","1.417","1.799","82","24.104","29.054","19.497","0.147","0","0.085","29.054","0.085","52.703","0.155","52.703","0.155","0","null","349","449","37558","10.397","94.37","69.83","30.17","123.14","8.12","216","305","11.149","11.242","9.464","331","6.723","null","null"
"UNIT_TOTAL","2025-03-10","1","9.323","3.738","0.5","2.5","3.273","246.112","6.393","88.877","-3.179","325.455","57.638","3.235","-0.982","154.237","1.06","2.492","44.246","4.879","4.422","0.088","1.996","0.073","0.141","9.053","690","371","564","619","295","455","1353","27","15.385","9.967","0","15.385","11.438","11.257","9.222","1.668","2.2","82","17.419","22.523","4.545","0.046","0","0.043","22.523","0.043","45.946","0.087","45.946","0.087","0","null","354","455","41593","7.165","86.47","68.16","31.84","232.36","4.3","55","179","7.454","11.998","9.551","174","3.63","null","null"
"UNIT_TOTAL","2025-03-17","1","9.145","4.692","0.643","2.551","3.052","217.855","4.182","99.215","3.438","35.798","57.765","8.862","-0.353","117.608","1.117","6.629","103.533","3.761","3.502","0.054","1.538","0.051","0.081","6.207","566","339","461","521","301","354","1040","16","16.667","15.166","0","14.986","13.107","12.167","10.151","1.696","2.3","81","20","24.848","12.698","0.172","0.034","0.087","26.389","0.121","64.352","0.295","56.97","0.2","0.096","null","311","381","34639","9.512","92.13","67.25","32.75","376.51","2.66","257","92","7.897","12.579","10.159","128","5.211","31.373","88.235"
"UNIT_TOTAL","2025-03-24","1","8.942","4.954","0.722","2.911","2.543","245.747","1.474","89.845","19.091","4.255","60.761","34.632","0.186","91.62","0.741","1.649","62.857","3.823","3.832","0.089","2.324","0.179","0.305","24.768","535","342","429","492","358","328","1119","26","17.988","9.953","0","20.649","12.844","13.185","10.858","2.145","2.932","82","2.954","44.211","7.982","0.465","0.235","0.085","2.298","0.32","4.091","0.569","64.211","0.123","0.447","null","295","361","35879","7.804","91.76","65.14","34.86","1281.39","0.78","658","28","10.153","13.138","10.139","233","4.766","1.715","3.254"
"UNIT_TOTAL","2025-03-31","1","9.184","6.022","0.423","2.322","2.62","227.263","12.875","94.714","2","69.128","61.079","8.054","-0.804","156.931","0.667","11.376","28.806","4.239","3.603","0.03","0.841","0.405","0.65","47.246","525","340","419","480","202","317","1070","9","23.659","24.631","0","20.915","18.182","14.124","11.891","1.759","2.455","82","4.33","36.765","7.923","0.882","0.342","0.066","2.837","0.408","10.395","1.495","61.765","0.111","1.384","null","284","348","34544","7.961","94.64","66.39","33.61","167.69","5.96","298","206","5.737","14.093","11.384","109","4.559","2.409","9.748"
"UNIT_TOTAL","2025-04-07","1","9.396","4.788","0.8","3.107","2.768","223.553","15.6","103.98","-2.7","152.941","60.213","8.053","0.525","78.736","1.167","12.324","204.585","4.367","3.517","0.023","0.644","1.301","2.136","156.293","541","329","410","491","348","274","932","6","22.263","15.894","0","18.391","14.765","14.837","12.419","2.057","2.893","82","11.566","44.286","7.947","1.137","0.96","0.07","12.145","1.029","20.339","1.724","58.571","0.092","1.631","null","272","342","31521","9.327","88.29","65.86","34.14","134.71","7.42","153","234","10.535","14.688","11.655","206","5.504","11.537","19.616"
"UNIT_TOTAL","2025-04-14","1","9.397","4.164","0.605","2.424","2.808","194.586","8.84","82.793","-0.048","100.913","59.365","9.955","-0.406","121.667","1.026","0.47","84.027","3.93","3.243","0.022","0.67","1.479","2.127","153.752","536","332","405","484","240","292","895","6","15.068","16.111","0","11.111","10.119","14.802","12.516","1.73","2.466","81","10.268","43.243","1.389","0.957","0.901","0.053","10.5","0.954","27.77","2.523","59.459","0.072","2.451","null","269","334","25880","10.24","77.72","67.98","32.02","117.1","8.54","219","221","8.362","14.715","11.952","141","6.105","10.055","27.339"
"UNIT_TOTAL","2025-04-21","1","9.449","4.765","0.483","2.788","2.602","273.055","5.579","90.106","1.769","60.571","61.383","6.731","-0.029","101.379","0.85","5.763","49.094","4.526","4.255","0.111","2.603","1.635","3.018","170.594","524","319","406","482","290","294","1383","36","15.306","14.136","0","15.306","9.89","14.742","12.474","1.524","2.182","82","8.754","25.991","4.217","1.5","1.374","0.102","8.911","1.476","15.556","2.576","40.088","0.157","2.419","null","272","338","45054","6.304","92.13","65","35","425.04","2.35","175","106","8.177","14.755","12.097","175","3.696","8.497","14.96"
"UNIT_TOTAL","2025-04-28","1","9.235","6.369","0.676","2.417","3.158","184.724","1.929","82.633","42.795","1.592","67.943","53","-0.569","129.496","0.697","1.087","46.111","3.314","3.265","0.022","0.659","1.18","1.738","121.313","521","316","400","477","278","360","911","6","18.889","16.019","0","17.614","15.196","15.19","12.859","1.363","1.991","82","7.176","21.569","4.496","0.912","0.795","0.025","7.692","0.82","20.837","2.221","33.333","0.038","2.182","null","269","332","24753","10.181","75.24","66.48","33.52","916.78","1.09","1696","27","7.965","15.071","12.358","158","6.908","7.541","20.701"
"UNIT_TOTAL","2025-05-05","1","9.662","4.923","0.644","2.861","2.281","199.664","3.053","92.692","10.513","12.393","80.205","19.5","0.97","57.522","1.11","0.38","39.069","3.276","3.106","0.037","1.183","1.433","2.053","156.301","504","292","393","466","226","130","761","9","10","8.333","0","13.333","16.304","15.016","12.747","1.53","2.219","81","14.3","20","10.667","1.725","1.687","0.015","14.369","1.701","24.83","2.94","44","0.033","2.907","null","255","318","24359","8.847","88.9","71.88","28.12","419.98","2.38","468","58","9.203","14.935","12.252","184","6.507","14.333","24.708"
